text,source,site
"GitHub Docs Skip to main content GitHub Docs Help for wherever you are on your GitHub journey. Get started Get started Migrations Account and profile Subscriptions & notifications Authentication Billing and payments Site policy Collaborative coding Codespaces Repositories Pull requests GitHub Discussions GitHub Copilot GitHub Copilot Plans Get code suggestions GitHub Copilot Chat Cookbook Coding agent Configure custom instructions CI/CD and DevOps GitHub Actions GitHub Packages GitHub Pages Security Secure coding Secret scanning Supply chain security Dependabot Code scanning Security advisories Client apps GitHub CLI GitHub Mobile GitHub Desktop Project management GitHub Issues Projects Search on GitHub Enterprise and Teams Organizations Secure your organization Enterprise onboarding Enterprise administrators GitHub Well-Architected Developers Apps REST API GraphQL API Webhooks Use Copilot Extensions GitHub Models Community Building communities GitHub Sponsors GitHub Education GitHub for Nonprofits GitHub Support Contribute to GitHub Docs More docs CodeQL query writing Electron npm GitHub Well-Architected Getting started Set up Git At the heart of GitHub is an open-source version control system (VCS) called Git. Git is responsible for everything GitHub-related that happens locally on your computer. Connecting to GitHub with SSH You can connect to GitHub using the Secure Shell Protocol (SSH), which provides a secure channel over an unsecured network. Creating and managing repositories You can create a repository on GitHub to store and collaborate on your project's files, then manage the repository's name and location. Basic writing and formatting syntax Create sophisticated formatting for your prose and code on GitHub with simple syntax. Popular About pull requests Learn about pull requests and draft pull requests on GitHub. Pull requests communicate changes to a branch in a repository. Once a pull request is opened, you can review changes with collaborators and add follow-up commits. Authentication documentation Keep your account and data secure with features like two-factor authentication,",https://docs.github.com/en,github
"SSH, and commit signature verification. Getting code suggestions in your IDE with GitHub Copilot Use GitHub Copilot to get code suggestions in your editor. Managing remote repositories Learn to work with your local repositories on your computer and remote repositories hosted on GitHub.",https://docs.github.com/en,github
"Get started with GitHub documentation - GitHub Docs Skip to main content Start here About GitHub and Git You can use GitHub and Git to collaborate on work. GitHub’s plans An overview of GitHub's pricing plans. Getting started with your GitHub account With a personal account on GitHub, you can import or create repositories, collaborate with others, and connect with the GitHub community. Getting started with GitHub Team With GitHub Team groups of people can collaborate across many projects at the same time in an organization account. Popular Creating an account on GitHub Create a personal account to get started with GitHub. Hello World Follow this Hello World exercise to learn GitHub's pull request workflow. Set up Git At the heart of GitHub is an open-source version control system (VCS) called Git. Git is responsible for everything GitHub-related that happens locally on your computer. About versions of GitHub Docs You can read documentation that reflects the GitHub product you're currently using. Guides Types of GitHub accounts Accounts on GitHub allow you to organize and control access to code. Finding ways to contribute to open source on GitHub You can find ways to contribute to open source projects on GitHub that are relevant to you. Troubleshooting connectivity problems If you're having trouble connecting to GitHub, you can troubleshoot your connection, then use the GitHub Debug tool to diagnose problems. All Get started docs Start your journey About GitHub and Git Creating an account on GitHub Hello World Setting up your profile Finding inspiration on GitHub Downloading files from GitHub Uploading a project to GitHub Git and GitHub learning resources Onboarding Getting started with your GitHub account Getting started with GitHub Team Getting started with the GitHub Enterprise Cloud trial Getting started with GitHub Enterprise Cloud Using GitHub GitHub flow Connecting to",https://docs.github.com/en/get-started,github
GitHub Communicating on GitHub Exploring early access releases with feature preview Supported browsers GitHub Mobile Allowing access to GitHub's services from a restricted network Troubleshooting connectivity problems Learning about GitHub GitHub’s plans GitHub language support Types of GitHub accounts Access permissions on GitHub About GitHub Advanced Security FAQ about changes to GitHub’s plans GitHub glossary Learning to code Getting started with Git Finding and understanding example code Reusing other people's code in your projects Setting up Copilot for learning to code Developing your project locally Learning to debug with GitHub Copilot Storing your secrets safely Getting feedback on your code from GitHub Copilot Finding and fixing your first code vulnerability Finding and fixing your first dependency vulnerability Accessibility Managing your theme settings Keyboard shortcuts GitHub Command Palette Writing on GitHub Getting started with writing and formatting on GitHub • 3 articles Working with advanced formatting • 10 articles Working with saved replies • 5 articles Editing and sharing content with gists • 4 articles Exploring projects on GitHub Finding ways to contribute to open source on GitHub Using GitHub Copilot to explore projects Contributing to a project Saving repositories with stars Following people Following organizations Git basics Set up Git Setting your username in Git Caching your GitHub credentials in Git Why is Git always asking for my password? Updating credentials from the macOS Keychain Git workflows About remote repositories Managing remote repositories Associating text editors with Git Configuring Git to handle line endings Ignoring files Git cheatsheet Using Git About Git Pushing commits to a remote repository Getting changes from a remote repository Dealing with non-fast-forward errors Splitting a subfolder out into a new repository About Git subtree merges About Git rebase Using Git rebase on the command line Resolving merge conflicts after a Git rebase Dealing with special,https://docs.github.com/en/get-started,github
characters in branch and tag names Troubleshooting the 2 GB push limit Exploring integrations About using integrations About building integrations Featured GitHub integrations GitHub Developer Program Archiving your GitHub personal account and public repositories Requesting an archive of your personal account’s data Opting into or out of the GitHub Archive Program for your public repository Using GitHub Docs About versions of GitHub Docs Using hover cards on GitHub Docs Showcase your expertise with GitHub Certifications About GitHub Certifications Registering for a GitHub Certifications exam,https://docs.github.com/en/get-started,github
"Migrations documentation - GitHub Docs Skip to main content Start here About GitHub Importer If your source code is stored on another Git-based hosting service, you can move the code to GitHub.com using GitHub Importer. About GitHub Enterprise Importer With GitHub Enterprise Importer, you can migrate your enterprise to GitHub Enterprise Cloud from various sources. Automating migration with GitHub Actions Importer Use GitHub Actions Importer to plan and automate your migration to GitHub Actions. Popular Importing a repository with GitHub Importer If you have a project hosted on another Git-based hosting service, you can quickly import it to GitHub using the GitHub Importer tool. Adding locally hosted code to GitHub If your code is stored locally on your computer and is tracked by Git or not tracked by any version control system (VCS), you can import the code to GitHub using GitHub CLI or Git commands. Migrating repositories from GitHub Enterprise Server to GitHub Enterprise Cloud You can migrate repositories from GitHub Enterprise Server to GitHub Enterprise Cloud, using the GitHub CLI or API. Guides Reclaiming mannequins for GitHub Enterprise Importer After your migration, you can assign the history of a placeholder identity, or mannequin, to a member of your organization. Troubleshooting your migration with GitHub Enterprise Importer If your migration fails or produces unexpected results, you can try common troubleshooting steps. All Migrations docs Overview About GitHub's migration tooling Planning your migration to GitHub Migration paths to GitHub About locked repositories Programmatically importing repositories Importing source code Using GitHub Importer • 2 articles Using the command line to import source code • 6 articles Using GitHub Enterprise Importer Understanding GitHub Enterprise Importer • 1 articles Migrating from Azure DevOps to GitHub Enterprise Cloud • 4 articles Migrating from Bitbucket Server to GitHub Enterprise Cloud • 4 articles Migrating between",https://docs.github.com/en/migrations,github
GitHub products • 6 articles Completing your migration with GitHub Enterprise Importer • 3 articles Using ghe-migrator About ghe-migrator Exporting migration data from GitHub Enterprise Server Exporting migration data from GitHub.com Migrating data to GitHub Enterprise Server,https://docs.github.com/en/migrations,github
"Account and profile documentation - GitHub Docs Skip to main content Start here Changing your GitHub username You can change the username for your account on GitHub. Managing your profile README You can add a README to your GitHub profile to tell other people about yourself. Popular Setting your commit email address You can set the email address that is used to author commits on GitHub and on your computer. Inviting collaborators to a personal repository You can invite users to become collaborators to your personal repository. What's new View all Local timezones available on profiles September 23 New badge for developers who contributed to the Mars 2020 Helicopter mission April 19 Sort repos in user and organization profiles by star count April 09 Guides Why are my contributions not showing up on my profile? Learn common reasons that contributions may be missing from your contributions graph. Blocking command line pushes that expose your personal email address If you've chosen to keep your email address private when performing web-based operations, you can also choose to block command line pushes that may expose your personal email address. All Account and profile docs Get started with your GitHub account and profile About your personal dashboard Personalizing your profile Concepts for account and profile About your profile Viewing contributions on your profile About your organization's profile About organization membership Changing your GitHub username Email addresses Scheduled reminders Personal repository access and collaboration How-tos for your GitHub account and profile Setting up and managing your GitHub profile • 2 articles Setting up and managing your personal account on GitHub • 5 articles Tutorials for your GitHub account and profile Managing security and analysis settings for your personal account Managing your cookie preferences for GitHub's enterprise marketing pages Using your GitHub profile to enhance your",https://docs.github.com/en/account-and-profile,github
resume Reference for account and profile Permission levels for a personal account repository Best practices for leaving your company Types of emails GitHub sends Why are my contributions not showing up on my profile? Email addresses reference,https://docs.github.com/en/account-and-profile,github
"Subscriptions and notifications documentation - GitHub Docs Skip to main content Start here About notifications Notifications provide updates about the activity on GitHub that you've subscribed to. You can use the notifications inbox to customize, triage, and manage your updates. Popular Configuring notifications Choose the type of activity on GitHub that you want to receive notifications for and how you want these updates delivered. What's new View all Sunset notice for automatic watching of repositories and teams April 15 All Subscriptions & notifications docs Get started with your GitHub subscriptions and notifications Configuring notifications Concepts for your GitHub notifications About notifications How-tos for your GitHub notifications Managing subscriptions for activity on GitHub • 2 articles Viewing and triaging notifications • 3 articles Tutorials for your GitHub notifications Customizing a workflow for triaging your notifications",https://docs.github.com/en/subscriptions-and-notifications,github
